LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:38:37,0                 
Time,Ampl
-2.168295e-008,-0.00658919
-2.158295e-008,-0.00978906
-2.148295e-008,-0.00658919
-2.138295e-008,-0.000189433
-2.128295e-008,-0.000189433
-2.118295e-008,-0.000189433
-2.108295e-008,-0.00338931
-2.098295e-008,0.00301044
-2.088295e-008,0.00621032
-2.078295e-008,0.0126101
-2.068295e-008,0.00621032
-2.058295e-008,0.00621032
-2.048295e-008,-0.00338931
-2.038295e-008,-0.00658919
-2.028295e-008,-0.00338931
-2.018295e-008,-0.00658919
-2.008295e-008,-0.00658919
-1.998295e-008,-0.0129889
-1.988295e-008,-0.0129889
-1.978295e-008,-0.0161888
-1.968295e-008,-0.00978906
-1.958295e-008,-0.00658919
-1.948295e-008,-0.00658919
-1.938295e-008,-0.00338931
-1.928295e-008,-0.00978906
-1.918295e-008,-0.00658919
-1.908295e-008,0.00301044
-1.898295e-008,0.00621032
-1.888295e-008,0.00621032
-1.878295e-008,-0.000189433
-1.868295e-008,0.00621032
-1.858295e-008,-0.000189433
-1.848295e-008,-0.00338931
-1.838295e-008,-0.00338931
-1.828295e-008,-0.000189433
-1.818295e-008,0.00301044
-1.808295e-008,-0.00658919
-1.798295e-008,-0.00658919
-1.788295e-008,0.00621032
-1.778295e-008,0.0126101
-1.768295e-008,0.0126101
-1.758295e-008,0.00621032
-1.748295e-008,-0.00338931
-1.738295e-008,-0.00338931
-1.728295e-008,-0.00978906
-1.718295e-008,-0.00978906
-1.708295e-008,-0.00978906
-1.698295e-008,-0.00658919
-1.688295e-008,-0.00658919
-1.678295e-008,-0.00658919
-1.668295e-008,-0.000189433
-1.658295e-008,-0.00658919
-1.648295e-008,-0.00658919
-1.638295e-008,-0.00978906
-1.628295e-008,-0.00658919
-1.618295e-008,-0.00338931
-1.608295e-008,0.00301044
-1.598295e-008,0.0094102
-1.588295e-008,0.0094102
-1.578295e-008,0.00621032
-1.568295e-008,0.00621032
-1.558295e-008,-0.00338931
-1.548295e-008,-0.00978906
-1.538295e-008,-0.0161888
-1.528295e-008,-0.0129889
-1.518295e-008,-0.00978906
-1.508295e-008,-0.00338931
-1.498295e-008,0.00301044
-1.488295e-008,-0.000189433
-1.478295e-008,-0.000189433
-1.468295e-008,-0.000189433
-1.458295e-008,-0.00658919
-1.448295e-008,0.00621032
-1.438295e-008,0.00301044
-1.428295e-008,0.00621032
-1.418295e-008,0.00621032
-1.408295e-008,0.00621032
-1.398295e-008,-0.00338931
-1.388295e-008,-0.000189433
-1.378295e-008,-0.00658919
-1.368295e-008,-0.00658919
-1.358295e-008,-0.00658919
-1.348295e-008,-0.00978906
-1.338295e-008,-0.000189433
-1.328295e-008,-0.00338931
-1.318295e-008,-0.00658919
-1.308295e-008,-0.00658919
-1.298295e-008,-0.00658919
-1.288295e-008,-0.00658919
-1.278295e-008,-0.00658919
-1.268295e-008,-0.0129889
-1.258295e-008,-0.00658919
-1.248295e-008,-0.00338931
-1.238295e-008,-0.00658919
-1.228295e-008,-0.000189433
-1.218295e-008,-0.00658919
-1.208295e-008,-0.0161888
-1.198295e-008,-0.0161888
-1.188295e-008,-0.0161888
-1.178295e-008,-0.0161888
-1.168295e-008,-0.0129889
-1.158295e-008,-0.00978906
-1.148295e-008,-0.00338931
-1.138295e-008,-0.00658919
-1.128295e-008,-0.00978906
-1.118295e-008,-0.0129889
-1.108295e-008,-0.0161888
-1.098295e-008,-0.0129889
-1.088295e-008,-0.00978906
-1.078295e-008,-0.00658919
-1.068295e-008,-0.000189433
-1.058295e-008,-0.00658919
-1.048295e-008,-0.00658919
-1.038295e-008,-0.0129889
-1.028295e-008,-0.0129889
-1.018295e-008,-0.0161888
-1.008295e-008,-0.0161888
-9.982951e-009,-0.00658919
-9.882951e-009,-0.00658919
-9.782951e-009,-0.00978906
-9.682951e-009,-0.00978906
-9.582951e-009,-0.00978906
-9.482951e-009,-0.00338931
-9.382951e-009,-0.00658919
-9.282951e-009,-0.00658919
-9.182951e-009,-0.00978906
-9.082951e-009,-0.00338931
-8.982951e-009,-0.00338931
-8.882951e-009,0.00301044
-8.782951e-009,-0.00338931
-8.682951e-009,0.00621032
-8.582951e-009,0.00301044
-8.482951e-009,-0.000189433
-8.382951e-009,-0.00338931
-8.282951e-009,0.00301044
-8.182951e-009,-0.000189433
-8.082951e-009,0.00301044
-7.982951e-009,-0.000189433
-7.882951e-009,-0.00658919
-7.782951e-009,-0.0129889
-7.682951e-009,-0.00658919
-7.582951e-009,-0.00978906
-7.482951e-009,-0.00338931
-7.382951e-009,-0.0129889
-7.282951e-009,-0.00658919
-7.182951e-009,-0.00978906
-7.082951e-009,-0.00978906
-6.982951e-009,-0.00978906
-6.882951e-009,-0.00658919
-6.782951e-009,-0.00978906
-6.682951e-009,-0.0129889
-6.582951e-009,-0.0129889
-6.482951e-009,-0.00978906
-6.382951e-009,-0.00978906
-6.282951e-009,-0.00978906
-6.182951e-009,-0.00978906
