LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:36:03,0                 
Time,Ampl
-2.169871e-008,-0.0129889
-2.159871e-008,-0.00658919
-2.149871e-008,-0.00338931
-2.139871e-008,0.00301044
-2.129871e-008,-0.00338931
-2.119871e-008,-0.00338931
-2.109871e-008,-0.00658919
-2.099871e-008,-0.00338931
-2.089871e-008,-0.00338931
-2.079871e-008,-0.00338931
-2.069871e-008,-0.000189433
-2.059871e-008,-0.000189433
-2.049871e-008,-0.00338931
-2.039871e-008,-0.00338931
-2.029871e-008,-0.00338931
-2.019871e-008,-0.00338931
-2.009871e-008,-0.0129889
-1.999871e-008,-0.00978906
-1.989871e-008,-0.00978906
-1.979871e-008,-0.00978906
-1.969871e-008,-0.00978906
-1.959871e-008,-0.00338931
-1.949871e-008,-0.00338931
-1.939871e-008,-0.000189433
-1.929871e-008,-0.000189433
-1.919871e-008,-0.00338931
-1.909871e-008,-0.00338931
-1.899871e-008,-0.00658919
-1.889871e-008,-0.00658919
-1.879871e-008,-0.00978906
-1.869871e-008,-0.00658919
-1.859871e-008,-0.00338931
-1.849871e-008,-0.0129889
-1.839871e-008,-0.00978906
-1.829871e-008,-0.00338931
-1.819871e-008,-0.000189433
-1.809871e-008,-0.000189433
-1.799871e-008,-0.000189433
-1.789871e-008,-0.00338931
-1.779871e-008,-0.00338931
-1.769871e-008,-0.0129889
-1.759871e-008,-0.0129889
-1.749871e-008,-0.0161888
-1.739871e-008,-0.0129889
-1.729871e-008,-0.00658919
-1.719871e-008,-0.00338931
-1.709871e-008,-0.00338931
-1.699871e-008,-0.000189433
-1.689871e-008,0.00301044
-1.679871e-008,-0.00338931
-1.669871e-008,-0.000189433
-1.659871e-008,-0.00338931
-1.649871e-008,-0.00658919
-1.639871e-008,-0.00338931
-1.629871e-008,-0.00338931
-1.619871e-008,-0.00658919
-1.609871e-008,-0.00658919
-1.599871e-008,-0.00658919
-1.589871e-008,-0.00338931
-1.579871e-008,-0.00338931
-1.569871e-008,0.00621032
-1.559871e-008,-0.000189433
-1.549871e-008,0.00301044
-1.539871e-008,-0.000189433
-1.529871e-008,-0.00338931
-1.519871e-008,-0.00978906
-1.509871e-008,-0.0129889
-1.499871e-008,-0.00978906
-1.489871e-008,-0.000189433
-1.479871e-008,-0.00338931
-1.469871e-008,-0.000189433
-1.459871e-008,-0.00338931
-1.449871e-008,-0.00658919
-1.439871e-008,-0.00658919
-1.429871e-008,-0.00658919
-1.419871e-008,-0.00338931
-1.409871e-008,-0.00978906
-1.399871e-008,-0.00338931
-1.389871e-008,-0.00658919
-1.379871e-008,-0.00658919
-1.369871e-008,-0.0129889
-1.359871e-008,-0.00978906
-1.349871e-008,-0.00658919
-1.339871e-008,-0.00658919
-1.329871e-008,0.00621032
-1.319871e-008,-0.00338931
-1.309871e-008,-0.00338931
